asset_id,asset_key,dataset,link,source,publisher,themes,used_by,datatype,size,variable_count,variables
ASSET-0018,MOP:2018-aerial-imagery-true-ortho,2018 Aerial Imagery (True Ortho),https://data.melbourne.vic.gov.au/explore/dataset/2018-aerial-imagery-true-ortho/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Property,,Tabular,0,Not stated,Not stated
ASSET-0019,MOP:2018-building-footprints,2018 Building Footprints,https://data.melbourne.vic.gov.au/explore/dataset/2018-building-footprints/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Property,,Geospatial,37872,13,geo_point_2d | geo_shape | footprint_type | tier | structure_max_elevation | footprint_max_elevation | structure_min_elevation | property_id | structure_id | footprint_extrusion | footprint_min_elevation | structure_extrusion | roof_type
ASSET-0020,MOP:2019-aerial-imagery,2019 Aerial Imagery,https://data.melbourne.vic.gov.au/explore/dataset/2019-aerial-imagery/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Environment,,Tabular,0,Not stated,Not stated
ASSET-0021,MOP:2019-false-colour-composite-aerial-imagery,2019 False Colour Composite Aerial Imagery,https://data.melbourne.vic.gov.au/explore/dataset/2019-false-colour-composite-aerial-imagery/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Environment,,Tabular,0,Not stated,Not stated
ASSET-0022,MOP:2020-aerial-imagery-true-ortho,2020 Aerial Imagery,https://data.melbourne.vic.gov.au/explore/dataset/2020-aerial-imagery-true-ortho/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Environment,,Tabular,0,Not stated,Not stated
ASSET-0023,MOP:2020-building-footprints,2020 Building Footprints,https://data.melbourne.vic.gov.au/explore/dataset/2020-building-footprints/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Property,,Geospatial,37750,13,geo_point_2d | geo_shape | footprint_type | tier | structure_max_elevation | footprint_max_elevation | structure_min_elevation | property_id | structure_id | footprint_extrusion | footprint_min_elevation | structure_extrusion | roof_type
ASSET-0024,MOP:2023-building-footprints,2023 Building Footprints,https://data.melbourne.vic.gov.au/explore/dataset/2023-building-footprints/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Property,,Geospatial,41701,13,geo_point_2d | geo_shape | objectid | structure_id | footprint_type | roof_type | footprint_max_elevation | footprint_min_elevation | structure_max_elevation | structure_min_elevation | footprint_extrusion | structure_extrusion | date_captured
ASSET-0025,MOP:annual-bike-counts-super-tuesday,Annual Bike Counts (Super Tuesday),https://data.melbourne.vic.gov.au/explore/dataset/annual-bike-counts-super-tuesday/,City of Melbourne Open Data,data.melbourne.vic.gov.au,Transport,,Geospatial,352,82,state | electorate | site_id | latitude | longitude | legs | description | layout_1 | layout_1_enter | layout_2 | layout_2_enter | layout_3 | layout_3_enter | layout_4 | layout_4_enter | layout_5 | layout_5_enter | layout_6 | layout_6_enter | leg1_2 | leg1_3 | leg1_4 | leg1_5 | leg1_6 | leg2_1 | leg2_3 | leg2_4 | leg2_5 | leg2_6 | leg3_1 | leg3_2 | leg3_4 | leg3_5 | leg3_6 | leg4_1 | leg4_2 | leg4_3 | leg4_5 | leg4_6 | leg5_1 | leg5_2 | leg5_3 | leg5_4 | leg5_6 | leg6_1 | leg6_2 | leg6_3 | leg6_4 | leg6_5 | leg1_enter | leg1_exit | leg1_total | leg2_enter | leg2_exit | leg2_total | leg3_enter | leg3_exit | leg3_total | leg4_enter | leg4_exit | leg4_total | leg5_enter | leg5_exit | leg5_total | leg6_enter | leg6_exit | leg6_total | female | male | not_known | total | year | 7_00_am | 7_15_am | 7_30_am | 7_45_am | 8_00_am | 8_15_am | 8_30_am | 8_45_am | location | geolocation
ASSET-0026,MOP:argyle-square-air-quality,Argyle Square Air Quality (Historical),https://data.melbourne.vic.gov.au/explore/dataset/argyle-square-air-quality/,City of Melbourne Open Data,City of Melbourne,Environment,,Geospatial,142507,19,time | dev_id | sensor_name | lat_long | averagespl | carbonmonoxide | humidity | ibatt | nitrogendioxide | ozone | particulateserr | particulatesvsn | peakspl | pm1 | pm10 | pm25 | temperature | vbatt | vpanel
ASSET-0103,MOP:guppy,Argyle Square Benches usage data,https://data.melbourne.vic.gov.au/explore/dataset/guppy/,City of Melbourne Open Data,City of Melbourne,People,,Geospatial,155764,13,device_id | time | sensor_location | sensor_name | azimuthdeg | lat_long | batv | intrip | inclinationdeg | mandown | temp | type | xyz
