sentence,entities
"Currently, I am on FOUNTAIN INN  LANE.","[(19, 37, 'STREET_NAME')]"
I need to get here: 927 CL1485.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
How do I get to 638 OSBORNE  ST?,"[(20, 31, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need to get to 827 MANTON  LANE.,"[(21, 33, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I need to go to Panton Hill.,"[(16, 27, 'SUBURB')]"
Where is 258 PL5234 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to get to 607 CL1056A.,"[(21, 28, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I am here at 2 HAVELOCK  ST.,"[(15, 27, 'STREET_NAME'), (13, 14, 'STREET_NUMBER')]"
"Can you guide me to 842 CL1754, Burwood?","[(24, 30, 'STREET_NAME'), (32, 39, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am here at 915 YARRA  PROMENADE.,"[(17, 33, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to go to Upper Ferntree Gully.,"[(16, 36, 'SUBURB')]"
"I'm at 244 WIMBLE  STREET, Armadale.","[(11, 25, 'STREET_NAME'), (27, 35, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to get to 264 LITTLE HARDIMAN  STREET.,"[(21, 44, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I am at 327 CL1754 in Pascoe Vale.,"[(12, 18, 'STREET_NAME'), (22, 33, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
"I'm at 902 SPRING  GARDENS  STREET, Heatherdale.","[(11, 34, 'STREET_NAME'), (36, 47, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
"Can you guide me to 515 AIRLIE  STREET, Lower Plenty?","[(24, 38, 'STREET_NAME'), (40, 52, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm heading towards 409 CL1194 in Monbulk.,"[(24, 30, 'STREET_NAME'), (34, 41, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to get here: 362 DRURY  STREET.,"[(24, 37, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
