Location,Type,Estimated_Footfall_10_12,Estimated_Footfall_12_2,Estimated_Footfall_2_4,Estimated_Footfall_4_6,Nearby_Locker,Nearest_Locker_Location,Travel_Distance_km,Estimated_Travel_Time_min
Federation Square,Attraction,120,170,140,110,Yes,Flinders Street Station,0.25,3
Queen Victoria Market,Market,95,130,150,115,No,Melbourne Central,0.4,5
Southern Cross Station,Transport Hub,160,200,180,190,Yes,Southern Cross Station,0.0,0
Flinders Street Station,Transport Hub,150,190,170,180,Yes,Southern Cross Station,0.0,0
NGV (Arts Precinct),Museum,100,120,110,105,No,Flinders Street Station,0.35,4
Melbourne Central,Shopping,130,160,150,140,Yes,Melbourne Central,0.0,0
Docklands,Harbourfront,85,100,120,95,No,Flinders Street Station,0.75,9
Chinatown,Cultural District,110,140,130,120,No,Melbourne Central,0.5,6
St Kilda Pier,Waterfront,70,95,90,85,No,Southern Cross Station,1.2,15
Carlton Gardens,Park,60,80,75,65,No,Melbourne Central,0.9,12
Royal Botanic Gardens,Botanic Garden,90,110,95,80,No,Flinders Street Station,1.1,14
Lygon Street,Dining Precinct,75,100,90,70,No,Melbourne Central,1.0,11
Hosier Lane,Street Art,80,130,110,95,No,Flinders Street Station,0.3,4
Shrine of Remembrance,Landmark,65,90,85,80,No,Flinders Street Station,0.8,10
Eureka Skydeck,Observation Deck,85,120,100,90,Yes,Eureka Skydeck,0.0,0
Crown Casino,Entertainment,95,140,130,120,Yes,Crown Casino,0.0,0
State Library of Victoria,Library,70,100,90,85,No,Melbourne Central,0.6,8
Albert Park,Park,55,85,80,75,No,Flinders Street Station,1.3,16
ACMI,Cultural Centre,60,90,85,80,No,Flinders Street Station,0.4,5
Old Melbourne Gaol,Historic Site,50,70,65,60,No,Melbourne Central,0.7,9
