document_name,Zoning,Max_Building_Height,Proposed_Parking,Environmental_Overlay
03-Township-Policy-Areas-Policy-Areas.pdf,TOWNSHIP P,8 M,Not Found,Not Found
04-Landscape-Living-Policy-Areas.pdf,POLICY AREA,0%,Not Found,Not Found
08-Management-of-Sites-of-Cultural-Significance.pdf,Not Found,Not Found,Not Found,Not Found
09-Puffing-Billy-Railway-Scenic-Corridors.pdf,residential,Not Found,Not Found,Puffing BillyRailwayScenic Corridors are defined bythe PuffingBillyRailwayScenic CorridorOverlay
10-Floodplan-Management.pdf,Township P,Not Found,Not Found,Not Found
14-Manufacturing-and-Industry.pdf,industrial,Not Found,Not Found,Not Found
"15-Extractive-Industry,-Mining-and-Soil-Removal.pdf",commercial,Not Found,Not Found,Not Found
16-Recreation-and-Tourism.pdf,rural,Not Found,Not Found,Not Found
17-Water-Resources.pdf,residential,Not Found,Not Found,Not Found
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.pdf,TOWNSHIP P,8 M,Not Found,Puffing BillyRailwayScenic Corridors are defined bythe PuffingBillyRailwayScenic CorridorOverlay
Using-Victorias-Planning-System.pdf,residential,Not Found,Not Found,What is an overlay
